Series Name,Series Code,Country Name,Country Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Net migration,SM.POP.NETM,Africa Eastern and Southern,AFE,-539801,-208254,250990,-153050,-283365,-719150,-760003,-225429,-471938,-688533,-592931,-531528,-517323,-472255,-568306,-581942,-530023,-438568,-479929,-413050,-712363,-174216,-91530,-414158,151528,-799850,340934,327087,100706,340127
Net migration,SM.POP.NETM,Africa Western and Central,AFW,-43861,39360,-271392,-117487,96446,-99789,147489,146647,-104687,29309,1062,4172,-72858,-15775,-127048,-213837,-217242,-252742,-245845,-310519,-223577,-509144,-373991,-181414,-247654,50874,-72945,-178068,-270812,-39974
Net migration,SM.POP.NETM,Arab World,ARB,-277703,-49421,830289,-98479,52606,-157055,135363,184835,130302,468890,349835,426252,183300,453391,548882,705074,1108146,872244,504368,156222,223817,577194,735533,575497,364082,132220,-994068,-591361,-51896,-280925
Net migration,SM.POP.NETM,Caribbean small states,CSS,-35417,-31271,-32863,-27678,-22740,-22034,-21260,-20367,-19769,-20051,-17513,-14717,-12372,-16581,-16904,-15868,-15915,-15915,-15529,-16092,-14685,-8556,-6395,-8043,-6976,-6612,-4667,64330,-40925,-2468
Net migration,SM.POP.NETM,Central Europe and the Baltics,CEB,-256676,-377048,-256064,-231755,-228410,-216086,-224598,-208220,-200276,-196924,-130075,-119846,-122185,-161032,-195739,-193602,-169376,-190262,-173417,-103905,-141804,-78436,-53400,-50434,-70563,-112017,-105389,-5347,36399,79111
Net migration,SM.POP.NETM,Early-demographic dividend,EAR,-562975,-1587026,-2672434,-4220330,-859564,167717,-668291,-1382724,-1974316,-1662886,-2270822,-4416227,-2529975,-2045629,-3054076,-1654859,-2261490,-4140674,-2549650,-2324365,-3435478,-3905532,-4477911,-3657459,-3634629,-5251285,-5100703,-5097600,-3682277,-2085062
Net migration,SM.POP.NETM,East Asia & Pacific,EAS,-737242,231993,-353094,-343989,75959,405997,454195,550618,-183876,-65727,-309339,-1009626,-958969,-1067145,-319362,-348736,-163075,-83945,163850,268353,41658,812582,343334,169408,-211377,661801,638078,495816,87628,-27575
Net migration,SM.POP.NETM,East Asia & Pacific (excluding high income),EAP,-841889,144582,-456650,-489036,-58220,231802,281314,398779,-316682,-180196,-555874,-1199125,-1130524,-1296139,-644475,-844152,-763351,-719190,-375018,-193531,-655632,87349,-351854,-528520,-1000530,-123501,-126551,-255673,-645228,-105012
Net migration,SM.POP.NETM,East Asia & Pacific (IDA & IBRD countries),TEA,-841696,144654,-456651,-488504,-55069,235422,285147,402548,-313223,-177170,-553177,-1196542,-1127935,-1293512,-642081,-841793,-760937,-716760,-372591,-191116,-653286,89843,-349002,-525554,-997419,-120419,-123475,-252614,-642303,-103641
Net migration,SM.POP.NETM,Euro area,EMU,894517,1128286,693657,980927,101200,523013,367895,-368195,789930,755183,967566,1589466,1646907,1525801,1331335,718595,1565021,1097036,664668,566966,611467,383020,483665,686958,1404881,915891,1052782,1245870,1315824,984118
Net migration,SM.POP.NETM,Europe & Central Asia,ECS,490542,-1152430,80587,885171,-115098,91031,-316289,-1326106,294627,755617,784227,2691772,1705322,1526958,1213762,847456,1687859,1397409,1013530,1059732,1061485,1015653,1397555,2153574,3131478,2054153,2358700,1964911,1850271,1538379
Net migration,SM.POP.NETM,Europe & Central Asia (excluding high income),ECA,-485732,-1046164,-1126234,-1390793,-943167,-986186,-1177326,-1535851,-951345,-657772,-596927,-461874,-406473,-499111,-635706,-429284,-588331,-389071,-317840,-292154,-202066,29785,186549,697221,794379,159523,478993,-43852,-192835,-72867
Net migration,SM.POP.NETM,Europe & Central Asia (IDA & IBRD countries),TEC,-603717,-2454263,-810873,-308895,-419962,-590371,-844763,-1199784,-782766,-289583,-456543,771594,-276474,-391399,-549089,-326905,-414411,-225987,-131572,-13003,9670,251680,446344,916689,1115543,526794,770330,233990,108051,273560
Net migration,SM.POP.NETM,European Union,EUU,741577,953041,618277,925723,14377,429796,251134,-469967,672703,673775,902221,1523588,1583811,1430224,1220827,610067,1481382,1020991,627112,656784,609533,414115,559014,777635,1510501,1025819,1145236,1355231,1415454,1066639
Net migration,SM.POP.NETM,Fragile and conflict affected situations,FCS,-328231,1383379,1374211,2587544,-184256,-1578852,-1069391,-191417,-705142,-1412740,-726235,402741,-332350,-608840,-367574,-979016,-1494569,-340445,-355441,-646056,-911194,-557333,-1266601,-1895587,-2497402,-1301855,-1908813,-1428886,-1471508,-403489
Net migration,SM.POP.NETM,Heavily indebted poor countries (HIPC),HPC,-664389,751357,979076,260167,-170944,-824851,-780255,-315907,-731582,-1737001,-997638,33071,-637639,-1057715,-612149,-1053583,-1860205,-779262,-1052886,-1400560,-948615,-1082696,-769079,-68218,-649236,564280,484322,-158184,-444013,65595
Net migration,SM.POP.NETM,High income,HIC,3278042,1782318,2918541,3952446,2549726,2953713,2708726,2146774,3128824,3677997,3875476,5605890,4519865,4508522,4614769,4571445,6066980,5407584,4436252,4497497,5231554,4838551,4977684,5307965,6415028,5585732,4276636,4437514,5055109,1946026
Net migration,SM.POP.NETM,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net migration,SM.POP.NETM,IDA & IBRD total,IBT,-3407713,-3195697,-2605157,-2868452,-2025378,-2559807,-2366526,-1768826,-2914226,-3280475,-3695841,-4322031,-4336082,-4350737,-4480538,-4439445,-5858996,-5183254,-4172949,-4140909,-4932936,-4516794,-4624153,-4975305,-5973986,-5020500,-3697290,-3768680,-4539143,-1539243
Net migration,SM.POP.NETM,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net migration,SM.POP.NETM,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net migration,SM.POP.NETM,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net migration,SM.POP.NETM,Late-demographic dividend,LTE,-562318,-1978310,-958723,-615441,-367653,-274348,-253574,225323,228644,278368,-216173,249189,-738745,-876810,-138407,342172,481855,327813,-104204,-161751,235006,618392,1044883,550663,-52807,942240,752433,603525,-414338,58625
Net migration,SM.POP.NETM,Latin America & Caribbean,LCN,-843352,-713395,-894520,-868564,-889221,-893009,-892425,-737369,-847120,-979917,-1051679,-1060408,-1085184,-1075616,-1084396,-1011455,-876230,-870767,-892927,-880978,-818815,-816232,-763649,-804470,-807387,-585141,-773087,-744817,-863096,-598237
